DATE,Sales Per Day
1/1/1992,7558.264812
2/1/1992,8096.645263
3/1/1992,8193.630005
4/1/1992,8726.435802
5/1/1992,8727.115815
6/1/1992,8958.585198
7/1/1992,8686.874599
8/1/1992,8662.116566
9/1/1992,8678.880736
10/1/1992,8805.291616
11/1/1992,9005.541523
12/1/1992,10755.78087
1/1/1993,7675.045238
2/1/1993,8321.254095
3/1/1993,8541.642409
4/1/1993,9116.97989
5/1/1993,9070.435729
6/1/1993,9334.498113
7/1/1993,9110.889646
8/1/1993,9058.814028
9/1/1993,9080.462063
10/1/1993,9009.205135
11/1/1993,9623.002452
12/1/1993,11272.35763
1/1/1994,7942.820274
2/1/1994,8833.606416
3/1/1994,9437.721586
4/1/1994,9590.317161
5/1/1994,9518.688136
6/1/1994,9976.025956
7/1/1994,9335.426414
8/1/1994,9794.243242
9/1/1994,9695.303475
10/1/1994,9564.409519
11/1/1994,10167.47618
12/1/1994,11806.31293
1/1/1995,8397.630662
2/1/1995,9105.591979
3/1/1995,9623.431757
4/1/1995,9617.68654
5/1/1995,10006.0809
6/1/1995,10391.93842
7/1/1995,9587.507793
8/1/1995,10115.95293
9/1/1995,9853.789402
10/1/1995,9602.528063
11/1/1995,10400.62546
12/1/1995,11826.79926
1/1/1996,8654.01573
2/1/1996,9595.313055
3/1/1996,9868.675348
4/1/1996,10160.2879
5/1/1996,10525.13025
6/1/1996,10382.79788
7/1/1996,10043.85162
8/1/1996,10393.86892
9/1/1996,9928.163879
10/1/1996,10209.70285
11/1/1996,10605.0145
12/1/1996,11939.28698
1/1/1997,9086.373153
2/1/1997,9894.342554
3/1/1997,10198.7285
4/1/1997,10297.8822
5/1/1997,10580.83518
6/1/1997,10602.19826
7/1/1997,10415.20399
8/1/1997,10543.30239
9/1/1997,10327.43334
10/1/1997,10408.10639
11/1/1997,10608.2262
12/1/1997,12328.88963
1/1/1998,9255.162193
2/1/1998,10045.72677
3/1/1998,10268.73935
4/1/1998,10816.50684
5/1/1998,10879.31144
6/1/1998,11213.52251
7/1/1998,10669.33934
8/1/1998,10603.31378
9/1/1998,10561.30278
10/1/1998,10761.00564
11/1/1998,11029.09002
12/1/1998,12923.52173
1/1/1999,9558.258031
2/1/1999,10724.36211
3/1/1999,11174.54617
4/1/1999,11314.97468
5/1/1999,11442.24444
6/1/1999,11792.18419
7/1/1999,11371.6445
8/1/1999,11511.29251
9/1/1999,11362.01537
10/1/1999,11096.167
11/1/1999,11821.77836
12/1/1999,13884.80021
1/1/2000,10096.96945
2/1/2000,11421.7391
3/1/2000,11868.03027
4/1/2000,11561.49856
5/1/2000,12034.69956
6/1/2000,12242.92113
7/1/2000,11321.76169
8/1/2000,11925.81747
9/1/2000,11599.41204
10/1/2000,11276.84521
11/1/2000,11963.76399
12/1/2000,13477.80562
1/1/2001,10330.62252
2/1/2001,11269.58626
3/1/2001,11511.69511
4/1/2001,11670.09839
5/1/2001,12120.37983
6/1/2001,12108.13888
7/1/2001,11340.08916
8/1/2001,12014.44175
9/1/2001,10962.2572
10/1/2001,11943.62323
11/1/2001,12200.43152
12/1/2001,13466.58133
1/1/2002,10377.56236
2/1/2002,11347.59087
3/1/2002,11522.44874
4/1/2002,11863.73188
5/1/2002,12106.58348
6/1/2002,11983.26759
7/1/2002,11855.78648
8/1/2002,12306.906
9/1/2002,11262.11008
10/1/2002,11474.88821
11/1/2002,12010.51712
12/1/2002,13587.45549
1/1/2003,10612.699
2/1/2003,11261.65292
3/1/2003,11505.92859
4/1/2003,12000.66928
5/1/2003,12310.11502
6/1/2003,12244.30731
7/1/2003,12162.49654
8/1/2003,12365.07093
9/1/2003,11848.05884
10/1/2003,11843.81411
11/1/2003,12170.1134
12/1/2003,14130.20422
1/1/2004,10854.76248
2/1/2004,11618.39675
3/1/2004,12310.03915
4/1/2004,12540.39132
5/1/2004,12591.2349
6/1/2004,12674.42287
7/1/2004,12473.01984
8/1/2004,12435.05781
9/1/2004,12322.98594
10/1/2004,12051.36736
11/1/2004,12688.23782
12/1/2004,14797.04087
1/1/2005,10999.15207
2/1/2005,12212.19616
3/1/2005,12691.38434
4/1/2005,12889.04079
5/1/2005,12861.38666
6/1/2005,13542.80797
7/1/2005,13005.22206
8/1/2005,13110.08864
9/1/2005,12491.24007
10/1/2005,12141.35256
11/1/2005,13005.85336
12/1/2005,14969.03342
1/1/2006,11484.56831
2/1/2006,12542.801
3/1/2006,13063.76926
4/1/2006,13035.49851
5/1/2006,13406.56386
6/1/2006,13550.88714
7/1/2006,12847.95967
8/1/2006,13311.26203
9/1/2006,12666.12448
10/1/2006,12399.37815
11/1/2006,13220.15144
12/1/2006,14973.16705
1/1/2007,11610.07862
2/1/2007,12578.04512
3/1/2007,13088.61242
4/1/2007,12925.01598
5/1/2007,13664.41652
6/1/2007,13488.51363
7/1/2007,12861.67144
8/1/2007,13449.9522
9/1/2007,12569.54478
10/1/2007,12659.25163
11/1/2007,13401.64231
12/1/2007,14657.81424
1/1/2008,11597.20247
2/1/2008,12390.90761
3/1/2008,12532.44277
4/1/2008,12787.46473
5/1/2008,13279.1605
6/1/2008,12913.37365
7/1/2008,12567.28866
8/1/2008,12523.95317
9/1/2008,11831.46083
10/1/2008,11480.13679
11/1/2008,11603.43483
12/1/2008,13112.03699
1/1/2009,10343.80153
2/1/2009,11013.22701
3/1/2009,10919.62524
4/1/2009,11347.48962
5/1/2009,11545.96707
6/1/2009,11777.17464
7/1/2009,11504.92896
8/1/2009,11678.0458
9/1/2009,11030.4695
10/1/2009,11095.5274
11/1/2009,11559.25612
12/1/2009,13345.69687
1/1/2010,10263.27397
2/1/2010,11232.71492
3/1/2010,11826.47784
4/1/2010,12051.13205
5/1/2010,11957.93772
6/1/2010,12146.05693
7/1/2010,11796.68188
8/1/2010,11829.8267
9/1/2010,11649.34775
10/1/2010,11503.84192
11/1/2010,12358.28892
12/1/2010,14034.48191
1/1/2011,10800.79536
2/1/2011,11972.62774
3/1/2011,12376.40706
4/1/2011,12506.20151
5/1/2011,12418.98975
6/1/2011,12745.11981
7/1/2011,12115.62156
8/1/2011,12461.49844
9/1/2011,12168.33071
10/1/2011,11888.50168
11/1/2011,12785.69964
